config,samples,correct,accuracy,invalid_outputs,invalid_output_rate,model_call_count,prompt_tokens,completion_tokens,total_tokens,estimated_list_cost_cny,mean_latency_seconds,text_samples,text_accuracy,icon_samples,icon_accuracy
grid_10x10__vision_only,501,337,0.6726546906187625,128,0.2554890219560878,501,1531545,51661,1583206,2.529792,4.379629931936216,290,0.7137931034482758,211,0.6161137440758294
raw__vision_only,501,353,0.7045908183632734,117,0.23353293413173654,501,1529944,54244,1584188,2.539014,4.664564378842277,290,0.7517241379310344,211,0.6398104265402843
