config,samples,correct,accuracy,invalid_outputs,invalid_output_rate,model_call_count,prompt_tokens,completion_tokens,total_tokens,estimated_list_cost_cny,mean_latency_seconds,text_samples,text_accuracy,icon_samples,icon_accuracy
grid_10x10__vision_only,30,23,0.7666666666666667,5,0.16666666666666666,30,96643,3113,99756,0.158973,4.544527506666418,15,0.8666666666666667,15,0.6666666666666666
raw__vision_only,30,21,0.7,7,0.23333333333333334,30,89628,3240,92868,0.149022,10.56170201666658,15,0.8,15,0.6
