config,runs,task_success_rate,strict_screenshot_task_success_rate,step_success_rate,wrong_click_rate_per_run,wrong_click_rate_per_executed_action,critic_block_rate,verifier_false_negative_count,model_call_count,prompt_tokens,completion_tokens,total_tokens,estimated_list_cost_cny,mean_model_latency_seconds,mean_run_latency_seconds
coarse_fine__tree_aux,24,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.0,0.0,0.0,3,45,110199,4735,114934,0.186606,6.598403716649045,10.808925704162297
coarse_fine__vision_only,24,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.08333333333333333,0.09523809523809523,0.0,3,46,111316,4353,115669,0.1865625,6.485005354169213,9.116262595843486
grid10__tree_aux,24,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.0,0.0,0.0,3,24,87111,2661,89772,0.142641,3.8397304083240065,8.260500862515377
grid10__vision_only,24,1.0,0.875,1.0,0.0,0.0,0.0,3,24,87111,2551,89662,0.142146,3.812118358318306,6.660280012511066
raw__tree_aux,24,0.9166666666666666,0.875,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.0,1,24,86367,2418,88785,0.1404315,3.7245066750086457,8.204801341659428
raw__vision_only,24,0.875,0.875,0.875,0.125,0.125,0.0,0,24,86367,2278,88645,0.1398015,3.9522171458180915,6.760819458344486
tree_first,24,0.9583333333333334,0.8333333333333334,0.9583333333333334,0.0,0.0,0.041666666666666664,3,3,10809,290,11099,0.0175185,0.5025175916671287,3.440194908340345
