config,samples,correct,accuracy,invalid_outputs,invalid_output_rate,model_call_count,prompt_tokens,completion_tokens,total_tokens,estimated_list_cost_cny,mean_latency_seconds,text_samples,text_accuracy,icon_samples,icon_accuracy
grid_10x10__vision_only,471,314,0.6666666666666666,123,0.2611464968152866,471,1434902,48548,1483450,2.370819,4.369126901698623,275,0.7054545454545454,196,0.6122448979591837
raw__vision_only,471,332,0.7048832271762208,110,0.23354564755838642,471,1440316,51004,1491320,2.389992,4.288950516560474,275,0.7490909090909091,196,0.6428571428571429
